d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.08474] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.08476] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.08477] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.08479] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.08481] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.08484] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.08486] Found a format
d3d      I         d3d_disp.cpp:2380 d3d_create_bitmap                [   0.08488] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.08511] added dtor for object 0048DF38, func 0F5517D0
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.09683] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.09690] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:184  _al_register_destructor          [   0.09992] added dtor for object 06969F68, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.09999] added dtor for object 004AE328, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10003] added dtor for object 0696A0D0, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10007] added dtor for object 0696A238, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10010] added dtor for object 0696A3A0, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10015] added dtor for object 0696A508, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10019] added dtor for object 0696A670, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10023] added dtor for object 0696A7D8, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10028] added dtor for object 0696A940, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10032] added dtor for object 0696AAA8, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10036] added dtor for object 0696AC10, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10041] added dtor for object 0696AD78, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10045] added dtor for object 004B15A8, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10048] added dtor for object 004B1710, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10051] added dtor for object 004B1890, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10054] added dtor for object 004B19F8, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10056] added dtor for object 004B1B60, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10059] added dtor for object 004B1CC8, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10061] added dtor for object 004B1E30, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10064] added dtor for object 004B1F98, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10066] added dtor for object 004B2100, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10069] added dtor for object 004B2268, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10072] added dtor for object 004B23D0, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10074] added dtor for object 004B2538, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10077] added dtor for object 004B26A0, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10079] added dtor for object 004B2808, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10082] added dtor for object 004B2970, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10084] added dtor for object 004B2AD8, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10087] added dtor for object 004B2C40, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10090] added dtor for object 004B2DA8, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10092] added dtor for object 004B2F10, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10095] added dtor for object 004B3078, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10098] added dtor for object 004B31E0, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10101] added dtor for object 004B3348, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10103] added dtor for object 004B34B0, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10106] added dtor for object 004B3618, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10109] added dtor for object 004B3AC0, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10112] added dtor for object 004B3C28, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10114] added dtor for object 004B3D90, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10117] added dtor for object 004B3EF8, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10120] added dtor for object 004B4060, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10122] added dtor for object 004B41C8, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10125] added dtor for object 004B4330, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10127] added dtor for object 004B4498, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10130] added dtor for object 004B4600, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10132] added dtor for object 004B4768, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10135] added dtor for object 004B48D0, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10137] added dtor for object 004B4A38, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10140] added dtor for object 004B4BA0, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10142] added dtor for object 004B4D08, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10145] added dtor for object 004B4E70, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10147] added dtor for object 004B4FD8, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10150] added dtor for object 004B5140, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10156] added dtor for object 004B52A8, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10159] added dtor for object 004B5410, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10162] added dtor for object 004B5578, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10164] added dtor for object 004B56E0, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10167] added dtor for object 004B5848, func 0F5517D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10170] added dtor for object 004B5AC0, func 0F5517D0
