stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening C:\Users\Public\Project1_old\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.03512] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03514] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03516] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03517] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03519] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03521] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03522] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03524] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03526] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03527] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03529] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03531] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03532] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03534] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03536] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03538] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03539] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03541] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03542] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03544] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03546] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03548] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03549] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03551] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03553] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03554] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03556] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03558] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03559] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03561] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1669 d3d_create_display_internals     [   0.03565] Trying format 0.
d3d      I         d3d_disp.cpp:1344 d3d_display_thread_proc          [   0.03591] Chose a display format: 23
d3d      I         d3d_disp.cpp:1413 d3d_display_thread_proc          [   0.03597] Normal window.
d3d      I         d3d_disp.cpp:781  d3d_create_device                [   0.05381] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:839  d3d_create_device                [   0.07777] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:847  d3d_create_device                [   0.07781] Success
d3d      D         d3d_disp.cpp:1692 d3d_create_display_internals     [   0.07785] Resumed after wait.
d3d      I         d3d_disp.cpp:1725 d3d_create_display_internals     [   0.07790] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1756 d3d_create_display_internals     [   0.07796] Returning d3d_display: 007F7A08
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.07799] al_display=007F7A08
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.07801] al_display->vt=007E0588
system   D            wsystem.c:674  maybe_parent_dir                 [   0.07819] Also searching C:\Users\Public\Project1_old\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.07854] PathFindOnPath found: C:\Windows\system32\d3dx9_43.dll
system   D            wsystem.c:635  load_library_at_path             [   0.07857] Calling LoadLibrary C:\Windows\system32\d3dx9_43.dll
system   I            wsystem.c:638  load_library_at_path             [   0.07991] Loaded C:\Windows\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.08007] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:184  _al_register_destructor          [   0.08065] added dtor for object 00813048, func 658017D0
dtor     D               dtor.c:184  _al_register_destructor          [   0.08168] added dtor for object 0082CCC8, func 658017D0
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.08708] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.08711] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.08713] Fake format
